DestinationPort,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthOfFwdPackets,TotalLengthOfBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthMean,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowBytesPerSecond,FlowPacketsPerSecond,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,ECEFlagCount,FwdHeaderLength,BwdHeaderLength,FwdPacketsPerSecond,BwdPacketsPerSecond,MinPacketLength,MaxPacketLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,DownUpRatio,AveragePacketSize,AvgFwdSegmentSize,AvgBwdSegmentSize,FwdAvgBytesPerBulk,FwdAvgPacketsPerBulk,FwdAvgBulkRate,BwdAvgBytesPerBulk,BwdAvgPacketsPerBulk,BwdAvgBulkRate,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,InitWinBytesForward,InitWinBytesBackward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin,ActDataPktFwd,MinSegSizeForward,Protocol,Label
193,3966,24,32,2261,1469,1472,73,772.5,67,776,42,409,91,4244,41,8498,2836,27976,31,63130,4028,1864,15790,41,69964,9617,185,20028,10,1,0,0,0,0,0,0,1,0,0,0,0,56,46,31,22,57,1296,676.5,147,21609,8,443,381,942,752,8,8541,3524,85,5809,1,1785,47,4153,32880,39661,83173,3335,355331,751,72291,203,313283,747,33,49,6,BENIGN
80,27589,10,50,42351,36202,606,90,348,96,1342,94,718,69,32787,79,3089,1651,28415,56,70402,2682,3001,45782,54,32475,9592,2611,15358,23,1,1,0,0,0,0,0,13,15,0,0,0,40,31,79,6,69,1049,559,74,5476,7,288,741,604,380,30,2659,5941,7,4703,15,869,46,4979,25061,42365,69516,7755,268594,279,95108,1027,455549,512,36,28,6,Web Attack - XSS
80,26621,45,99,49905,42687,516,96,306,92,947,83,515,61,8181,57,8875,1365,31320,65,28405,3261,4672,27161,93,44967,215,717,22531,44,0,0,0,0,0,0,0,17,13,0,0,0,29,21,95,26,73,1034,553.5,77,5929,5,325,220,355,8385,49,9326,5228,47,3932,12,2352,31,1533,56124,33040,33728,1000,132970,186,59383,8609,38982,554,41,95,6,Web Attack - XSS
53232,80,2,0,49,54,305,75,190,82,1102,67,584.5,83,294,132,103,3337,14457,23,40491,4360,4480,46085,56,18788,2333,143,19341,5,0,0,0,0,1,1,0,1,3,0,0,0,25,54,18,80,54,1063,558.5,195,38025,8,350,523,819,5166,33,2739,4400,42,7683,27,2721,46,279,32178,54731,16975,3841,454314,932,91909,8617,412389,231,41,62,6,PortScan
21,12036,56,59,16347,13558,572,81,326.5,86,409,42,225.5,42,14432,35,6141,4893,47486,97,98316,5010,3839,5162,14,40891,8610,3956,37276,69,0,1,0,0,1,0,0,23,34,0,0,0,28,33,3,59,81,1334,707.5,176,30976,3,798,517,432,1411,44,5039,8880,1,5951,25,2339,35,4129,50421,20954,53723,5073,365261,565,39931,3752,182296,394,39,92,6,FTP-Patator
54333,58,4,1,50,54,1385,97,741,99,1216,51,633.5,95,903,110,2877,1974,5674,2,63364,8079,1263,6022,85,48788,198,2985,16897,9,1,1,0,0,0,1,1,4,4,0,0,0,38,57,52,30,69,1134,601.5,75,5625,5,705,270,615,8077,50,3798,8286,42,6943,21,1127,41,1279,13625,58495,80263,2304,168877,554,59560,4382,76585,392,3,96,6,PortScan
80,730,483,4,70759,161,217,99,158,61,275,56,165.5,94,82516,4101,6220,500,38111,44,13453,2512,4278,46702,6,21374,4412,1259,34513,58,1,0,0,0,0,165,0,2,5,0,0,0,32,39,19,75,63,1006,534.5,50,2500,3,111,275,215,9740,32,2574,1860,48,3339,3,4343,10,3933,8603,32933,99754,2776,371957,550,36401,2040,189928,203,12,94,6,DDoS
52998,493265,69,50,7524,2421,1362,74,718,88,783,47,415,34,3062,7,4616,3308,49975,76,97962,5228,339,46658,5,72651,8879,3697,24794,74,1,1,0,0,1,0,1,0,3,0,0,0,56,21,69,75,71,1266,668.5,199,39601,6,826,939,607,6422,4,6699,8730,48,6389,29,637,24,1511,46201,42937,75164,7321,460680,482,42007,8751,472973,942,28,99,6,Bot
387,18405,25,23,1114,3997,217,59,138,35,1202,76,639,56,3262,27,3991,389,31344,75,19515,6549,1926,42522,74,62264,5829,1297,31327,18,0,1,0,0,0,0,0,3,7,0,0,0,57,50,43,54,78,1248,663,141,19881,1,986,670,314,8062,78,7393,4749,73,8104,29,1435,36,4877,60749,24357,28006,2234,41549,467,56585,106,221235,826,41,91,6,Infiltration
59867,449954,19,94,1319,3755,459,79,269,54,697,66,381.5,22,2812,33,4297,3202,40558,60,72143,9148,3164,33395,23,43061,1433,4002,5699,11,1,1,0,0,0,1,0,0,3,0,0,0,23,50,89,50,79,1097,588,91,8281,2,695,599,697,7907,51,3782,5144,82,5851,40,1321,18,261,19833,22458,35386,375,185577,28,77994,2585,339916,684,40,39,6,Bot
80,2724,199,8,67545,609,1360,90,725,47,973,90,531.5,32,448475,2493,8846,1589,49524,21,70028,5561,1605,48413,96,33348,5758,2615,5716,58,1,0,0,0,1,59,1,2,3,0,0,0,37,37,41,4,70,1018,544,82,6724,7,241,543,699,748,91,7962,1473,51,7064,4,2010,23,4546,59153,24524,77242,5388,310483,260,89483,5723,82244,513,4,27,6,DDoS
80,3937,779,1,51149,257,364,81,222.5,24,1041,98,569.5,48,160940,1317,9563,1391,46290,52,89956,9663,4896,7116,93,53340,621,1910,35423,98,1,0,0,0,0,57,0,0,0,0,0,0,51,26,73,11,80,1196,638,172,29584,5,461,847,554,8902,26,8862,472,60,1688,23,3947,18,4774,34094,32092,83065,7006,497044,990,16215,6617,412171,631,20,91,6,DDoS
21,8588,94,61,15784,3249,614,59,336.5,97,657,89,373,32,6814,20,1799,3451,6029,70,1246,7250,3466,39358,56,15663,6952,4639,39831,36,1,0,0,0,0,1,0,39,31,0,0,0,20,55,6,56,40,1034,537,104,10816,2,919,299,220,1370,88,7955,6686,89,7096,3,1907,2,1684,32385,52186,43272,1160,316970,910,39877,1571,479885,618,19,47,6,FTP-Patator
80,28894,20,93,5827,44864,756,96,426,30,744,94,419,49,43515,95,4572,2637,4602,18,44291,1926,4000,33794,41,14718,4224,2059,7895,33,0,1,0,0,1,1,0,9,18,0,0,0,24,31,38,27,63,1069,566,182,33124,9,584,555,984,1030,51,539,4498,74,4493,15,198,20,2371,41724,30828,95277,8642,103945,357,77544,4564,264350,879,23,56,6,Web Attack - XSS
80,452,929,1,41163,925,1498,80,789,77,1119,60,589.5,56,481227,4288,9470,2695,38469,6,46948,4995,3988,32707,55,7220,6845,2905,44848,20,1,1,0,0,1,109,1,4,1,0,0,0,37,21,23,43,71,1058,564.5,87,7569,0,227,811,343,5256,56,380,728,45,2838,12,298,41,263,16715,10730,60973,8817,12197,649,2699,4305,189495,68,33,48,6,DoS Hulk
80,45262,51,74,13539,17202,174,64,119,48,1005,46,525.5,64,41860,338,1331,1894,45300,16,76443,1811,2537,20495,13,49467,1429,3101,28621,62,0,0,0,0,0,1,1,16,17,0,0,0,32,38,24,10,84,1134,609,102,10404,0,191,273,366,2485,2,6063,2018,58,5483,27,2561,26,4386,12739,29063,77424,1542,292099,357,41188,680,303100,700,7,36,6,Web Attack - XSS
80,4557,764,5,36598,810,230,81,155.5,58,1414,82,748,63,308371,4760,6953,4970,35065,14,70130,5394,4795,3052,94,48742,6469,132,44457,39,0,1,0,0,1,144,0,2,2,0,0,0,28,40,79,11,67,1125,596,84,7056,6,966,312,853,2478,2,7533,5049,11,3882,29,3135,44,427,34840,25522,32215,2824,73550,596,85213,8690,397737,85,32,84,6,DoS Hulk
324,78368,25,46,3013,4555,1248,95,671.5,91,371,51,211,20,1215,21,6399,650,19043,5,70895,4636,2275,17500,20,8835,5346,907,15173,91,1,1,0,0,0,1,0,1,8,0,0,0,25,48,40,94,76,1049,562.5,159,25281,6,450,509,833,2327,18,6282,6770,86,6403,26,2011,2,933,12209,44044,99058,8102,253874,127,44783,3441,298817,374,20,51,6,Infiltration
80,41669,79,52,29829,30079,823,83,453,82,941,76,508.5,95,11294,109,1266,1204,2127,54,84079,5753,2634,34925,75,33612,7192,4641,12363,50,0,0,0,0,1,1,1,6,17,0,0,0,29,56,4,81,73,1497,785,196,38416,8,366,707,881,2582,26,4928,2679,46,3945,25,1102,43,4286,39635,42362,69519,8881,487426,951,31956,837,360140,223,42,37,6,Web Attack - XSS
80,1487,619,0,32438,224,194,62,128,96,1013,53,533,70,212213,4190,302,211,49211,60,16182,8171,4882,3215,36,87884,6769,4318,12707,70,0,1,0,0,0,126,1,2,7,0,0,0,43,42,87,7,74,1149,611.5,111,12321,1,537,643,457,8498,35,4021,3291,14,5223,33,4713,20,2455,53283,42783,33017,6737,57327,373,23774,2456,115518,201,29,49,6,DDoS
80,4016,471,6,90970,839,1161,94,627.5,97,420,94,257,28,148087,3794,451,1354,18924,18,67638,4928,2481,12395,29,40195,6337,3666,1121,69,1,0,0,0,0,120,1,1,7,0,0,0,46,36,58,34,49,1227,638,110,12100,2,927,367,963,3756,98,8435,8917,36,2018,47,1505,44,2331,20188,35485,70816,4474,243238,433,27234,5710,73116,251,14,28,6,DoS Hulk
80,3483,679,5,88225,82,865,69,467,26,1086,83,584.5,98,247102,2044,9703,3306,36800,83,33884,780,1392,38588,81,8587,248,2298,22399,46,0,0,0,0,1,176,1,4,3,0,0,0,55,42,67,70,47,1401,724,151,22801,0,672,806,809,462,81,9264,2660,66,5476,32,3254,2,2760,57259,27618,18211,2530,176930,958,54673,9241,419630,518,42,70,6,DoS Hulk
80,2643,228,9,18883,260,1351,76,713.5,59,627,93,360,51,249107,2170,7218,559,43242,95,16143,8448,2120,40772,5,31593,6754,1046,13562,62,1,1,0,0,1,112,0,2,9,0,0,0,57,34,54,82,80,1177,628.5,71,5041,1,515,839,834,5754,7,4830,2174,10,2764,20,3133,23,4585,25838,65043,33724,2365,417071,190,37818,7104,57872,689,21,25,6,DoS Hulk
6038,186527,27,73,7912,9118,577,58,317.5,96,127,66,96.5,57,738,37,9514,537,6586,72,85705,4042,2589,44569,73,75050,5687,1791,11386,38,0,1,0,0,1,1,0,4,5,0,0,0,21,30,18,1,64,1221,642.5,93,8649,6,866,777,846,3296,78,3734,3410,84,4447,26,2664,24,3386,24552,27533,53168,1918,349926,639,87053,1966,319309,447,7,53,6,Bot
89,17525,6,17,1553,684,236,82,159,77,410,84,247,68,8734,58,9825,2865,10715,73,86511,9076,573,35456,65,78055,5451,101,40036,89,0,0,0,0,1,1,1,1,3,0,0,0,55,26,15,35,65,1208,636.5,169,28561,2,662,652,732,2128,9,5635,1487,57,9830,16,3444,38,456,43254,20050,92397,1906,130949,482,97259,3283,260838,266,37,38,6,BENIGN
80,1781,953,1,70472,459,492,81,286.5,31,439,50,244.5,38,436079,1557,6559,1534,10328,87,60721,9791,4286,30211,51,64257,7080,4942,13530,64,0,1,0,0,1,158,1,4,9,0,0,0,21,33,19,84,87,1035,561,149,22201,6,533,225,122,8067,88,9987,5204,68,9492,34,274,8,662,35204,51018,9878,5460,131554,538,91166,7496,226039,492,48,57,6,DoS Hulk
340,98035,20,45,3009,4756,297,50,173.5,35,438,54,246,84,7025,84,1360,2897,20209,58,70254,8744,1745,14892,41,83130,7402,312,26691,46,1,1,0,0,0,0,0,1,6,0,0,0,38,57,58,83,90,1322,706,160,25600,4,522,577,602,8832,54,2973,6441,46,4229,20,3566,33,1790,33978,14890,78316,539,207043,477,73861,4396,291665,504,9,61,6,BENIGN
80,2921,722,8,98417,425,112,61,86.5,24,1218,54,636,33,63563,2222,7362,573,49171,8,66932,3753,708,5228,29,26942,1044,3840,11048,88,0,1,0,0,0,76,0,0,2,0,0,0,22,55,61,59,47,1113,580,101,10201,8,323,911,139,792,14,1314,2421,20,9960,2,2690,20,1277,10607,19470,59047,9223,445274,332,3948,4946,206295,560,44,72,6,DDoS
270,24517,44,44,1827,1506,1450,90,770,86,511,52,281.5,40,6100,42,224,1170,21184,64,6101,7083,2146,16510,63,12332,829,3833,6113,8,1,0,0,0,0,1,0,2,1,0,0,0,36,55,15,60,61,1355,708,79,6241,1,935,427,184,1055,33,3202,2962,86,6552,14,4189,2,3019,33545,52708,94918,553,222318,685,57995,2157,305988,767,40,62,6,Infiltration
21,10460,56,98,17151,6301,1403,58,730.5,35,814,61,437.5,24,15119,111,4948,1964,39953,57,22519,8291,1737,38997,17,13825,7390,3824,31444,52,1,0,0,0,0,1,1,35,35,0,0,0,48,25,92,57,70,1359,714.5,95,9025,8,508,776,663,8043,61,8609,3351,15,1830,43,2980,46,4109,32794,47768,2142,9661,253802,558,78930,6838,408399,712,25,97,6,FTP-Patator
80,3862,646,9,99910,621,1275,88,681.5,18,121,47,84,58,491981,1692,2286,3737,33692,8,81459,2213,437,41944,72,75498,4198,1887,19803,31,0,0,0,0,1,72,1,4,3,0,0,0,35,20,59,79,64,1282,673,85,7225,5,809,278,901,590,83,4472,3540,12,843,1,4537,33,1361,27650,35026,23860,3401,35113,242,16315,9329,442887,214,29,40,6,DDoS
436,76850,37,36,3375,3822,276,97,186.5,91,1208,44,626,56,5574,73,9941,3203,14015,1,38346,2110,4031,12389,49,58727,3188,3506,24760,13,1,0,0,0,0,0,0,4,5,0,0,0,32,56,44,23,40,1158,599,102,10404,2,389,162,527,2444,47,767,5502,47,9953,43,226,16,175,53264,48865,8752,3294,389208,676,21747,7519,146887,132,20,95,6,BENIGN
125,25960,39,27,3747,1787,575,76,325.5,85,1061,72,566.5,70,4477,52,1208,1668,10592,31,83314,3076,1188,35004,16,26676,491,1416,29725,55,0,0,0,0,1,1,0,0,7,0,0,0,42,30,98,79,70,1019,544.5,133,17689,6,885,594,961,4099,10,5574,7839,4,7843,19,1418,3,3841,45283,15325,32998,8862,112060,462,68262,4380,55433,501,23,56,6,Infiltration
21,24720,72,50,17871,15866,1421,77,749,84,236,51,143.5,20,5939,168,8660,2492,17464,95,41421,7236,4438,48571,69,58514,1508,1957,32221,49,1,0,0,0,0,1,0,46,27,0,0,0,51,56,62,68,99,1242,670.5,157,24649,1,317,803,745,2341,87,9334,4518,12,4596,48,244,24,145,24812,56515,8113,9420,164309,23,55722,6830,343786,301,31,87,6,FTP-Patator
21,28895,82,54,17160,6215,383,97,240,85,163,50,106.5,72,13062,40,6915,599,2787,32,6283,4004,3489,26609,80,10915,8173,3143,32904,53,0,0,0,0,0,1,0,46,35,0,0,0,46,25,83,45,98,1208,653,82,6724,4,805,311,207,6862,51,9383,5575,20,7023,10,3034,9,3439,23287,21583,11946,5551,304548,328,84081,2721,321101,742,21,99,6,FTP-Patator
80,31975,58,51,11039,19143,1457,55,756,49,145,65,105,83,9339,461,8914,4729,48533,48,10455,379,3494,3633,56,60743,1572,3653,38183,77,1,1,0,0,0,1,1,8,11,0,0,0,51,28,70,95,81,1484,782.5,128,16384,1,926,156,885,5384,82,2020,5473,49,1123,26,234,28,3088,61874,33510,49688,942,92718,561,93997,4893,447503,531,9,49,6,Web Attack - XSS
423,27594,42,11,3027,2528,339,48,193.5,85,586,83,334.5,64,1806,20,8023,4803,48977,58,97960,1824,3946,9195,67,76018,8911,3737,27627,5,1,0,0,0,0,1,0,1,9,0,0,0,40,21,73,79,91,1459,775,80,6400,9,525,225,910,9226,44,4410,442,20,73,30,1619,2,4804,46651,39803,53019,1824,28980,66,24228,7807,303061,69,13,85,6,BENIGN
80,36923,76,97,34842,11731,1450,71,760.5,71,1331,48,689.5,31,31098,374,3672,1580,33662,54,11243,5393,2031,22521,8,71803,6931,906,38541,49,1,1,0,0,0,1,1,13,10,0,0,0,50,33,93,91,60,1258,659,125,15625,9,399,544,830,6754,9,3240,6748,64,5977,30,290,1,188,14422,42488,56267,6502,280870,3,34555,3084,445566,948,23,53,6,Web Attack - XSS
21,5217,36,77,16384,10650,634,50,342,79,1070,97,583.5,54,3900,137,9934,1043,46195,98,46472,2674,806,12333,8,1148,4198,2280,33384,21,0,1,0,0,1,0,1,16,39,0,0,0,30,42,50,41,53,1405,729,167,27889,9,593,812,657,8424,80,2599,2063,71,4291,43,2502,10,4408,54670,39798,63093,3864,151332,603,86202,9795,326561,797,4,72,6,FTP-Patator
80,8081,68,10,47204,28420,1194,63,628.5,75,1404,91,747.5,56,33985,108,1890,3467,40826,97,70760,3483,990,41080,31,73535,8891,2489,45724,58,1,1,0,0,0,0,1,18,8,0,0,0,51,26,92,46,66,1430,748,66,4356,2,312,673,642,19,66,1429,4151,20,5555,37,4465,5,2234,49983,50043,89487,4062,492908,173,96309,8347,348247,205,31,32,6,Web Attack - XSS
63676,13,1,1,137,75,768,91,429.5,14,490,42,266,88,984,199,9414,1437,40412,91,72039,8281,4243,22962,80,95254,6035,3028,44521,8,1,1,0,0,1,1,1,4,7,0,0,0,39,42,20,23,49,1482,765.5,130,16900,0,485,952,976,9360,22,6354,7594,74,4912,21,1718,46,4935,58529,27802,8953,6689,33026,528,13484,5939,205484,814,1,32,6,PortScan
259,19902,8,36,1888,2936,1361,51,706,22,758,69,413.5,92,3423,70,222,1582,18521,57,38769,2217,3918,7313,71,83993,8167,3971,16846,59,1,0,0,0,1,0,1,1,8,0,0,0,32,22,4,88,94,1132,613,124,15376,2,720,597,402,903,27,7404,4804,19,7303,39,2333,11,927,49856,25706,57474,3988,350743,367,20512,3721,245328,248,44,61,6,Infiltration
251,30588,47,49,729,2116,1310,40,675,53,824,74,449,21,6167,23,4971,1014,42961,79,99073,5762,369,4064,12,35646,4519,4601,24759,42,1,1,0,0,0,0,1,4,3,0,0,0,52,22,43,50,42,1047,544.5,186,34596,8,628,903,908,1967,53,9441,636,81,3546,18,3855,15,4205,25622,18480,82116,4755,247225,912,6282,4167,98726,586,27,30,6,BENIGN
41521,495806,32,78,9960,7120,262,77,169.5,30,901,76,488.5,99,3288,34,5383,2463,36140,84,96636,737,3327,39708,71,99932,3956,4812,8710,32,0,0,0,0,0,0,0,1,7,0,0,0,43,48,16,42,65,1231,648,181,32761,5,123,356,155,5906,85,5127,2271,3,7279,29,2022,39,3101,33941,51628,87788,9144,201286,531,80096,8394,146875,250,19,22,6,Bot
280,43721,38,49,2376,4987,1314,90,702,85,812,44,428,40,2626,59,2352,2288,39346,91,5382,5613,1722,11268,18,63607,5316,4087,35022,20,1,0,0,0,1,1,1,2,2,0,0,0,56,59,9,30,66,1288,677,149,22201,3,350,981,430,8330,37,8530,9778,43,2087,29,3491,35,1836,28693,23407,69226,4151,134937,696,78319,3486,134239,120,23,68,6,BENIGN
21,20897,81,97,3081,17025,503,41,272,39,1451,69,760,67,4120,81,1227,4836,42056,23,8282,8696,1734,27752,80,32302,8455,4518,49514,50,0,0,0,0,0,1,0,43,35,0,0,0,56,28,6,62,59,1293,676,198,39204,3,484,611,355,4853,96,1462,90,60,3763,46,4426,15,3661,50984,30779,65302,8500,301197,835,2943,2353,90511,744,49,37,6,FTP-Patator
80,3748,199,7,39216,944,946,55,500.5,77,815,73,444,53,242857,2221,9929,865,20996,34,12878,3221,3195,14189,61,80710,2857,2625,34310,20,0,1,0,0,0,194,0,1,6,0,0,0,56,29,12,69,79,1458,768.5,122,14884,7,490,193,535,2834,73,3614,297,61,866,29,1176,27,1149,50766,55033,66477,7308,357700,592,58770,4806,253913,917,3,54,6,DDoS
219,95439,32,34,2868,1468,751,67,409,18,892,95,493.5,28,1529,98,8953,4268,31797,98,20459,6523,4288,49362,18,97878,2424,2458,38016,20,0,1,0,0,1,1,1,1,3,0,0,0,36,53,98,81,53,1387,720,192,36864,4,703,392,674,9715,70,9872,4474,28,7282,47,4071,34,3174,15648,23528,75236,5282,424665,65,21055,4032,390562,623,21,23,6,BENIGN
43704,209567,73,50,1183,4817,191,48,119.5,17,1093,95,594,89,4125,10,4735,4647,43214,36,40118,9272,1285,7063,88,65695,5103,3232,10437,42,1,0,0,0,0,0,0,3,1,0,0,0,49,54,69,33,63,1469,766,126,15876,2,416,462,815,6031,99,2393,3317,79,4165,27,2614,20,3696,53531,62876,40068,5161,213599,88,26045,5424,267247,51,47,50,6,Bot
45352,455947,39,51,1988,9931,976,87,531.5,53,1341,71,706,47,1616,25,1074,4337,14245,64,39010,2297,3857,42676,94,61076,6695,2044,16318,81,1,1,0,0,0,0,1,0,6,0,0,0,30,24,22,6,83,1430,756.5,163,26569,6,117,460,408,9405,95,1331,7729,76,5903,35,4330,31,3916,35602,43551,40859,5955,83496,533,63336,8382,480720,718,40,77,6,Bot
6755,497059,17,42,9051,8225,571,78,324.5,74,278,82,180,30,3982,29,3953,2863,19729,49,26710,2353,1430,35290,57,26188,5221,558,36904,12,1,1,0,0,1,1,1,3,5,0,0,0,50,48,75,60,97,1095,596,183,33489,0,745,499,672,8240,99,9390,1460,9,5702,39,4732,45,4544,14818,34394,37953,1671,476158,475,16951,3951,219323,833,42,84,6,Bot
18912,21,3,1,113,57,521,60,290.5,82,436,64,250,60,267,173,644,1121,45858,76,3275,9273,1489,19153,48,89955,2769,3562,45808,13,1,0,0,0,1,1,1,3,7,0,0,0,34,45,43,37,75,1244,659.5,153,23409,2,267,132,807,2699,61,2444,6528,47,2650,43,1488,41,2242,49740,39450,90065,308,326880,337,1500,7574,69254,98,10,89,6,PortScan
27330,344259,66,90,2955,1290,768,64,416,83,1139,74,606.5,85,4938,44,3583,989,14752,66,33926,1887,2082,17849,55,2191,8169,2590,27943,73,1,1,0,0,0,0,1,4,0,0,0,0,43,56,38,86,67,1383,725,103,10609,4,578,315,688,9036,6,2052,9839,79,2952,41,4594,10,2422,19660,10816,24747,6082,228175,363,9423,732,76623,619,4,76,6,Bot
63920,47,3,0,70,89,873,80,476.5,86,550,99,324.5,50,390,61,1832,2639,38027,78,20265,5874,4756,35325,24,35426,7765,2703,8107,87,1,1,0,0,0,1,0,1,8,0,0,0,40,29,88,43,89,1421,755,76,5776,1,448,697,562,1828,38,4065,7234,73,8838,5,3665,20,3010,32760,18475,6090,6471,287661,683,3480,7229,165023,903,21,49,6,PortScan
80,40625,25,30,48617,20729,718,59,388.5,26,344,56,200,54,16306,71,3687,4726,10689,98,2651,8180,1118,10860,69,42354,350,533,29616,78,1,1,0,0,0,1,1,7,13,0,0,0,52,50,75,96,72,1363,717.5,57,3249,4,782,556,818,6518,36,2276,6268,76,7060,7,3451,36,3278,22172,56222,46853,6548,161145,779,60478,9758,270884,552,16,33,6,Web Attack - XSS
80,1717,684,5,62290,438,599,96,347.5,58,1464,58,761,90,494763,1811,4236,1419,8702,53,27315,2073,3248,24965,90,87606,8889,534,46526,66,1,1,0,0,1,101,1,0,2,0,0,0,42,28,19,2,79,1339,709,146,21316,0,309,389,693,5375,54,2600,9829,80,5273,40,3846,19,4422,10667,57329,36762,4624,156172,994,59245,8425,375047,714,34,47,6,DDoS
341,93982,34,35,2197,789,165,77,121,73,1292,52,672,44,2108,74,6536,3255,24539,91,48199,3332,1021,24755,63,20736,6657,1337,47442,44,1,1,0,0,1,0,1,1,9,0,0,0,31,32,92,16,57,1389,723,83,6889,1,517,618,149,3678,64,5700,6309,1,41,5,1529,4,2458,47188,32746,10210,8464,305021,811,80746,2445,159614,460,2,29,6,Infiltration
80,3806,601,4,66676,116,1156,92,624,29,715,50,382.5,47,216799,1316,6612,1764,37726,47,14563,2508,2711,44183,21,28133,6697,883,33513,33,0,0,0,0,1,119,1,3,1,0,0,0,47,23,76,67,82,1385,733.5,94,8836,7,797,148,323,3436,65,9431,6500,93,5504,26,4501,37,1154,12916,34868,84735,2543,100949,303,30154,8764,179800,199,48,96,6,DoS Hulk
256,30708,44,47,3470,3881,727,54,390.5,29,434,67,250.5,62,7912,47,9959,2453,9777,90,57034,7151,1996,47206,10,86146,2722,2028,4785,76,1,0,0,0,0,0,1,2,3,0,0,0,33,54,41,92,80,1445,762.5,165,27225,6,209,728,102,6864,44,1953,5434,25,6018,29,2210,34,4316,16489,61006,18770,5125,14490,362,74033,5484,111591,23,34,41,6,BENIGN
267,84519,35,27,1766,4253,958,65,511.5,70,331,92,211.5,46,7326,29,3905,858,39976,39,25389,4256,3885,10069,48,67021,358,1361,48216,35,0,0,0,0,0,0,0,2,7,0,0,0,58,26,86,71,91,1464,777.5,93,8649,8,901,860,904,7413,84,5636,4574,39,6432,45,2110,22,378,63228,50122,20575,6828,12164,795,35304,3384,190278,18,23,21,6,BENIGN
56263,164409,80,84,7768,6542,641,54,347.5,95,341,95,218,54,4176,45,5481,2613,26782,84,25909,7201,4888,11157,22,93633,804,916,27326,45,1,1,0,0,0,0,1,4,8,0,0,0,39,38,54,54,66,1059,562.5,54,2916,0,645,945,128,2653,84,2069,9638,96,9992,25,2056,41,1944,33840,11195,96445,4584,415439,930,42717,6524,59030,852,38,66,6,Bot
33948,16547,31,29,4851,7047,103,66,84.5,55,1476,57,766.5,19,2041,12,1926,1522,46635,69,77636,6830,3875,42138,55,6168,2001,3395,13671,51,1,1,0,0,1,0,0,1,5,0,0,0,52,57,41,88,44,1486,765,181,32761,4,482,477,467,4242,8,2428,9176,36,9762,21,4138,27,289,15876,23509,58501,2846,116152,897,63582,6741,237794,186,2,80,6,Bot
21,43376,57,65,13525,8623,596,88,342,78,1470,87,778.5,77,4317,59,9437,1205,43166,67,67921,4117,2921,15600,62,88102,7199,3419,18464,36,0,1,0,0,0,0,1,24,32,0,0,0,35,41,54,65,40,1265,652.5,118,13924,8,801,276,903,6265,19,4655,7899,71,5499,38,727,4,4672,55974,45665,19465,6026,14305,32,28421,1846,476314,760,32,56,6,FTP-Patator
80,307,534,9,80732,585,945,65,505,57,1128,60,594,47,81770,970,5278,2200,25614,2,94164,7869,123,9583,33,45710,6297,4472,37942,55,1,1,0,0,1,138,1,2,0,0,0,0,44,22,10,49,62,1391,726.5,195,38025,3,983,600,573,5913,88,6560,619,84,4403,24,2203,24,1985,48432,13365,51587,5373,63595,895,20792,8684,84815,489,8,75,6,DDoS
4894,73073,94,39,9005,9658,616,90,353,56,869,90,479.5,70,1384,23,867,3930,34767,37,60634,3378,4502,28654,11,9121,3116,2049,37659,67,0,1,0,0,1,0,1,0,7,0,0,0,24,41,26,54,82,1376,729,124,15376,2,193,144,790,2631,52,9632,2738,94,7052,23,4968,10,433,47403,41662,17417,6270,370335,680,53475,5006,23062,861,2,59,6,Bot
213,62842,32,22,3294,1899,1477,71,774,42,214,41,127.5,83,2829,71,5783,2813,37270,40,52194,7737,1632,22299,96,11693,5657,3503,47247,45,1,1,0,0,1,0,1,2,3,0,0,0,37,34,87,63,43,1008,525.5,126,15876,3,693,381,914,2398,71,2884,5337,54,7870,24,405,37,1227,17928,12223,57476,1375,319800,339,76537,9338,334379,509,41,94,6,BENIGN
80,2466,801,8,25806,632,493,62,277.5,82,1402,63,732.5,25,274582,4753,8976,1957,12925,37,79639,3201,1787,27259,30,93394,3285,727,25190,39,0,1,0,0,1,157,1,3,9,0,0,0,48,40,5,49,63,1230,646.5,195,38025,0,844,870,985,8764,33,9814,6536,47,8626,40,2722,48,2033,34618,15551,43104,3122,164869,843,46665,9476,245979,957,42,60,6,DoS Hulk
